key,de-DE,en-US,da-DK,fi-FI,sv-SE
barcode.custom.splitter.options.barcode-type.hint,"Nur für Typ ""Barcode"". [Barcodetypen erklärt](https://github.com/lindell/JsBarcode/wiki#barcodes)","Only for type ""Barcode"". [Barcode types explained](https://github.com/lindell/JsBarcode/wiki#barcodes)","Only for type ""Barcode"". [Barcode types explained](https://github.com/lindell/JsBarcode/wiki#barcodes)","Vain tyypille ""Viivakoodi"". [Viivakoodityypit ](https://github.com/lindell/JsBarcode/wiki#barcodes)","Endast för typen \""Streckkod\"". [Streckkodstyper förklaras](https://github.com/lindell/JsBarcode/wiki#barcodes)"
barcode.custom.splitter.options.barcode-type.label,Barcode-Typ,Barcode type,Barcode type,Viivakoodin tyyppi,Streckkodstyp
barcode.custom.splitter.options.code-type.barcode.text,Barcode,Barcode,Barcode,Viivakoodi,Streckkod
barcode.custom.splitter.options.code-type.label,Typ,Type,Type,Tyyppi,Typ
barcode.custom.splitter.options.code-type.qrcode.text,QR code,QR code,QR code,QR-koodi,QR-kod
barcode.custom.splitter.options.expert_search_limit.label,Limit in expert search (number),Limit in expert search (number),Limit in expert search (number),Tarkennetun haun raja (numero),Begränsning i avancerad sökning (antal)
barcode.custom.splitter.options.field-selector.label,Feld,Field,Field,Kenttä,Fält
barcode.custom.splitter.options.field-selector.placeholder,Auswählen eines Text- oder Zahlenfeldes,Select a text or number field,Select a text or number field,Valitse teksti- tai numerokenttä,Välj ett text- eller nummerfält
barcode.label.empty-data.barcode,"Text eingeben, um den Barcode zu generieren",Enter text to generate the barcode,Enter text to generate the barcode,Muodosta viivakoodi tekstistä,Skriv in text för att generera streckkoden
barcode.label.empty-data.qr_code,"Text eingeben, um den Barcode zu generieren",Enter text to generate the barcode,Enter text to generate the barcode,Muodosta viivakoodi tekstistä,Skriv in text för att generera streckkoden
barcode.label.qr-data-too-long,Daten für QR-Code sind zu lang,Data for QR code is too long,Data for QR code is too long,QR-koodin sisältö on liian pitkä,Data för QR-kod är för lång
barcode.label.wrong-data.barcode,Keine gültigen Daten zur Generierung des Barcodes,No valid data to generate the barcode,No valid data to generate the barcode,Viivakoodin luonti ei onnistu,Inga giltiga data för att generera streckkoden
barcode.label.wrong-data.qr_code,Keine gültigen Daten zur Generierung des Barcodes,No valid data to generate the barcode,No valid data to generate the barcode,Viivakoodin luonti ei onnistu,Inga giltiga data för att generera streckkoden
barcode.mask.splitter.name,Barcode,Barcode,Barcode,Viivakoodi,Streckkod
barcode.mask.splitter.option.barcode_type,Barcode-Typ: %(value)s,Barcode type: %(value)s,Barcode type: %(value)s,Viivakoodin tyyppi: %(value)s,Streckkodstyp: %(value)s
barcode.mask.splitter.option.blockWidth,%(value)s breit,%(value)s width,%(value)s width,%(value)s leveys,%(value)s bredd
barcode.mask.splitter.option.code_type,Typ: %(value)s,Type: %(value)s,Type: %(value)s,Tyyppi: %(value)s,Typ: %(value)s
barcode.mask.splitter.option.field_name,Feld: %(value)s,Field: %(value)s,Field: %(value)s,Kenttä: %(value)s,Fält: %(value)s
barcode.mask.splitter.title|text,Barcode,Barcode,Barcode,Viivakoodi,Streckkod
